CID,HA,Dipole,DonorType,SMILES,mlp_adsorption_energy,dft_adsorption_energy
68923909,18.0,1.0608707223601752,amine_primary,C1[C@H]([C@@H]1C2=CC=C(C=C2)C3=CC=C(C=C3)F)CN,-1.525093913078308,
61484986,15.0,1.065292209265139,amine_primary,CC(C)C(CCCCC1=CC=CC=C1)N,-0.9531818628311157,
64564944,16.0,1.0653333944080603,amine_primary,CC1=C(C=CC(=C1)C(CCC(F)(F)F)N)F,-1.2060751169919968,
90212473,16.0,1.06545220270503,amine_primary,CC1=CC(=CC(=C1)C(C)C)CC[C@H](CN)F,-0.8491269201040268,
71235937,22.0,1.065624085921954,amine_primary,CCC(C)(/C=C(/C(C)C=C1CCCCC1)\N)C2CCCCC2,-1.0610844194889069,
15611184,16.0,1.0666851197663725,amine_primary,C1CC(C1)(CN)C2=CC3=CC=CC=C3C=C2,-1.1089520752429962,
82930664,16.0,1.067891188693867,amine_primary,CCC(CC)CC(CN)C1=CC=CC=C1F,-1.1235074400901794,
69913107,20.0,1.0679342912319092,amine_primary,C1CCC(CC1)C(C2CCCCC2)(C3CCCCC3)N,-1.1154965162277222,
84021942,13.0,1.0688923941080315,amine_primary,CC1=CC2=C(CC=C2CCN)C=C1,-1.092396765947342,
24258653,18.0,1.0839941402595312,amine_primary,CC1=CC=C(C=C1)C(CCC2=CC=CC=C2C)N,-1.4087545573711395,
57972406,18.0,1.0851026455082486,amine_primary,CC1=CC2=C(C=C1)C3=C(C=C(C=C3C2(C)C)C)N,-1.4910461008548737,
84107478,11.0,1.086237622048233,amine_primary,CC(C)(CCC1CCCC1)N,-1.1444425284862518,
62622393,16.0,1.0874537538663425,amine_primary,CC(C)C1=CC=C(C=C1)CC(C)(C(C)C)N,-0.9882646203041077,
84659295,13.0,1.0963481468183365,amine_primary,CC(C)(CCC1CCCCCC1)N,-1.1754360496997833,
55195467,18.0,1.0986630439015412,amine_primary,CC1=CC(=C(C(=C1)C)C(C2CC3CCC2C3)N)C,-1.4259832501411438,
46850844,21.0,1.0989379902474026,amine_primary,CC1=C(C(CCC1)(C)C)/C=C/C(C)CC/C=C(\C)/CCN,-1.6718749105930328,
69966625,12.0,1.0990782494117517,amine_primary,CCC(CC)C1(CCCCC1)N,-1.1231206059455872,
60918258,15.0,1.1004375294290902,amine_primary,CCC(C)C(C)(C1=CC(=CC(=C1)C)C)N,-1.1594476699829102,
84091667,16.0,1.103230929235126,amine_primary,CC(C)(C(=C)C1C2CC3CC(C2)CC1C3)N,-0.9611498117446899,
114997100,11.0,1.104849006488217,amine_primary,CCCCCC(C)(C1CC1)N,-1.1079498529434204,
105156222,19.0,1.1048550421598302,amine_primary,CCC1CCCC(C1)C(CCC2=CC=CC(=C2)C)N,-1.3615809977054596,
83985089,20.0,1.1053663559680111,amine_primary,CCC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)N,-1.468904733657837,
107004188,14.0,1.106228322270769,amine_primary,CC1(CC1C(C2=CC(=CC=C2)Cl)N)C,-1.2736640870571136,
114833951,18.0,1.1062391512191203,amine_primary,CCCCCCCC(C)(CC1=CC(=CC=C1)F)N,-1.0879278481006622,
