query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,3,10241435,[13CH3]N1C2=C(C(=O)N(C1=O)[13CH3])NC=N2,Success,0.000000
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,4,12203055,CN1C2=C(C(=O)N(C1=O)C)N[14CH]=N2,Success,0.000000
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,5,71752505,C[15N]1C2=C(C(=O)[15N](C1=O)C)N[13CH]=N2,Success,0.000000
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,6,4687,CN1C=NC2=C1C(=O)N(C(=O)N2)C,Success,0.000263
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,7,131953130,C[15N]1C=[15N][13C]2=[13C]1[13C](=O)[15N]([13C](=O)N2)C,Success,0.000263
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,8,53442228,CN1C=[15N][13C]2=[13C]1[13C](=O)[15N]([13C](=O)[15NH]2)C,Success,0.000263
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,9,10419811,[13CH3]N1C=NC2=C1C(=O)N(C(=O)N2)[13CH3],Success,0.000263
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,10,130005146,CN1C=NC2=C(C1=O)NC(=O)N2C,Success,0.000356
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,1,11820004,CN1C=NC2=C1C(=O)[15N](C(=O)[15N]2C)C,Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,2,64136,CN1C=NC2=C1C(=O)N(C(=O)N2C)[14CH3],Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,3,131953137,CN1C(=O)C2=C(N=C[15N]2C)[15N](C1=O)C,Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,4,131953138,CN1C(=O)C2=C(N=C[15N]2C)[15N]([13C]1=O)C,Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,5,153694061,CN1C=NC2=C1C(=O)N(C(=O)N2C)[13CH3],Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,6,13001297,CN1[14CH]=NC2=C1C(=O)N(C(=O)N2C)C,Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,7,451131,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)[11CH3],Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,8,153694012,CN1C=NC2=C1C(=O)N([13C](=O)N2[13CH3])[13CH3],Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,9,13001305,CN1C=NC2=C1C(=O)[15N]([13C](=O)[15N]2C)C,Success,0.000000
caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SCIENCE,10,101116218,CN1C=NC2=C1C(=O)N(C(=O)N2[14CH3])C,Success,0.000000
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,1,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,Success,0.000000
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,2,9989875,[13CH3]N1C=NC2=C1C(=O)NC(=O)N2[13CH3],Success,0.000000
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,3,53442230,C[15N]1C=[15N][13C]2=[13C]1[13C](=O)N[13C](=O)[15N]2C,Success,0.000000
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,4,130006090,CN1C=NC2=C(C1=O)N(C(=O)N2)C,Success,0.000206
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,5,130005146,CN1C=NC2=C(C1=O)NC(=O)N2C,Success,0.000232
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,6,53442228,CN1C=[15N][13C]2=[13C]1[13C](=O)[15N]([13C](=O)[15NH]2)C,Success,0.000273
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,7,10419811,[13CH3]N1C=NC2=C1C(=O)N(C(=O)N2)[13CH3],Success,0.000273
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,8,131953130,C[15N]1C=[15N][13C]2=[13C]1[13C](=O)[15N]([13C](=O)N2)C,Success,0.000273
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,9,4687,CN1C=NC2=C1C(=O)N(C(=O)N2)C,Success,0.000273
theobromine,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,SCIENCE,10,137267013,CN1C2=C(N=CNC2=O)N(C1=O)C,Success,0.000366
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,1,5356789,CCCCCCCC/C=C\CCCCCCCCN,Success,0.000000
