Journal name,Impact factor,Paper count
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,1.8,1
CHEMISTRY LETTERS,1.8,1
HELVETICA CHIMICA ACTA,1.8,1
INDIAN JOURNAL OF PHYSICS,1.8,1
JAPANESE JOURNAL OF APPLIED PHYSICS,1.8,4
JOURNAL OF CRYSTAL GROWTH,1.8,1
MOLECULAR PHYSICS,1.8,7
OPTICS CONTINUUM,1.8,1
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,1.8,1
MENDELEEV COMMUNICATIONS,1.7,3
ACTA CHIMICA SINICA,1.6,1
AIP ADVANCES,1.6,1
CHIMIA,1.6,3
JOURNAL OF INORGANIC MATERIALS,1.6,4
CHINESE JOURNAL OF ORGANIC CHEMISTRY,1.5,1
CHINESE PHYSICS B,1.5,4
CURRENT NANOSCIENCE,1.5,2
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,1.5,1
JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,1.5,2
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,1.5,2
SCIENCE OF ADVANCED MATERIALS,1.5,1
TETRAHEDRON LETTERS,1.5,2
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,1.5,1
KOREAN JOURNAL OF METALS AND MATERIALS,1.4,1
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,1.3,1
MOLECULAR CRYSTALS AND LIQUID CRYSTALS,1.2,1
PROGRESS IN CHEMISTRY,1.2,1
RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,1.2,1
SURFACE REVIEW AND LETTERS,1.2,2
CHINA SURFACE ENGINEERING,1.1,1
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,1.0,1
ARKIVOC,1.0,1
CANADIAN JOURNAL OF CHEMISTRY,1.0,2
CHINESE JOURNAL OF CHEMICAL PHYSICS,1.0,2
JOURNAL OF NANO RESEARCH,1.0,1
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,1.0,2
JOURNAL OF PHOTOPOLYMER SCIENCE AND TECHNOLOGY,1.0,1
MAIN GROUP CHEMISTRY,1.0,1
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,1.0,1
OPTO-ELECTRONICS REVIEW,0.9,1
ACTA PHYSICA SINICA,0.8,9
TECHNICAL PHYSICS LETTERS,0.8,1
CHINESE JOURNAL OF INORGANIC CHEMISTRY,0.7,3
RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY A,0.7,3
SCIENTIA SINICA-PHYSICA MECHANICA & ASTRONOMICA,0.5,3
APL ENERGY,0.0,1
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,0.0,1
CHINESE SCIENCE BULLETIN-CHINESE,0.0,4
ENERGY MATERIALS AND DEVICES,0.0,1
INTERNATIONAL JOURNAL OF PHOTOENERGY,0.0,1
JOURNAL OF MATERIALS INFORMATICS,0.0,1
JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS,0.0,2
LASER & OPTOELECTRONICS PROGRESS,0.0,1
MACROHETEROCYCLES,0.0,1
MICROSTRUCTURES,0.0,1
NANO RESEARCH ENERGY,0.0,2
NEXT ENERGY,0.0,3
POLYOXOMETALATES,0.0,2
RESOURCES CHEMICALS AND MATERIALS,0.0,1
