Journal name,Impact factor,Paper count
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,1.5,1
TETRAHEDRON LETTERS,1.5,1
KOREAN JOURNAL OF METALS AND MATERIALS,1.4,1
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,1.3,1
PROGRESS IN CHEMISTRY,1.2,1
SURFACE REVIEW AND LETTERS,1.2,1
CHINA SURFACE ENGINEERING,1.1,1
CANADIAN JOURNAL OF CHEMISTRY,1.0,1
CHINESE JOURNAL OF CHEMICAL PHYSICS,1.0,1
JOURNAL OF NANO RESEARCH,1.0,1
MAIN GROUP CHEMISTRY,1.0,1
ACTA PHYSICA SINICA,0.8,7
CHINESE JOURNAL OF INORGANIC CHEMISTRY,0.7,2
SCIENTIA SINICA-PHYSICA MECHANICA & ASTRONOMICA,0.5,3
CHINESE SCIENCE BULLETIN-CHINESE,0.0,4
ENERGY MATERIALS AND DEVICES,0.0,1
NANO RESEARCH ENERGY,0.0,2
NEXT ENERGY,0.0,2
OPTIK,2.1,1
POLYOXOMETALATES,0.0,2
RESOURCES CHEMICALS AND MATERIALS,0.0,1
